Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AGRO,RF,10,10,20,0.7405857740585774,10,8
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.7748917748917749,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,20,50,20,0.8430493273542601,30,17
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8232558139534883,40,23
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,10,20,0.8647342995169082,50,24
AGRO,ZR,0,0,0,0,50,23
AGRO,RF,10,20,20,0.8291457286432161,60,32
AGRO,ZR,0,0,0,0,60,37
AGRO,RF,20,20,20,0.900523560209424,70,53
AGRO,ZR,0,0,0,0,70,42
AGRO,RF,50,50,20,0.8688524590163934,80,51
AGRO,ZR,0,0,0,0,80,43
ABR,RF,10,10,20,0.7422680412371134,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,20,20,0.813588850174216,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,10,20,20,0.8074204946996466,30,17
ABR,ZR,0,0,0,0,30,6
ABR,RF,20,10,20,0.8315412186379928,40,40
ABR,ZR,0,0,0,0,40,40
AHC,RF,10,10,20,0.6958762886597938,10,4
AHC,ZR,0,0,0,0,10,4
AHC,RF,10,30,20,0.7921052631578948,20,9
AHC,ZR,0,0,0,0,20,0
AHC,RF,20,50,20,0.7983870967741935,30,23
AHC,ZR,0,0,0,0,30,13
AHC,RF,10,40,20,0.8186813186813187,40,28
AHC,ZR,0,0,0,0,40,12
AHC,RF,40,20,20,0.8398876404494382,50,41
AHC,ZR,0,0,0,0,50,9
AHC,RF,10,30,20,0.8850574712643678,60,45
AHC,ZR,0,0,0,0,60,13
AKR,RF,10,10,20,0.7546468401486989,10,9
AKR,ZR,0,0,0,0,10,9
AKR,RF,10,10,20,0.799749687108886,20,16
AKR,ZR,0,0,0,0,20,16
AKR,RF,40,30,20,0.8343868520859671,30,22
AKR,ZR,0,0,0,0,30,12
AFL,RF,10,10,20,0.8187422934648582,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,10,20,20,0.8343711083437111,20,17
AFL,ZR,0,0,0,0,20,8
AFL,RF,10,40,20,0.8377358490566038,30,22
AFL,ZR,0,0,0,0,30,23
AGRO,RF,10,10,20,0.7405857740585774,10,8
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.7748917748917749,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,20,50,20,0.8430493273542601,30,17
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8232558139534883,40,23
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,10,20,0.8647342995169082,50,24
AGRO,ZR,0,0,0,0,50,23
AGRO,RF,10,20,20,0.8291457286432161,60,32
AGRO,ZR,0,0,0,0,60,37
AGRO,RF,20,20,20,0.900523560209424,70,53
AGRO,ZR,0,0,0,0,70,42
AGRO,RF,50,50,20,0.8688524590163934,80,51
AGRO,ZR,0,0,0,0,80,43
AGRO,RF,10,30,20,0.8457142857142858,90,42
AGRO,ZR,0,0,0,0,90,41
AHT,RF,10,10,20,0.7177814029363785,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,10,20,0.7454545454545455,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,10,20,0.7386934673366834,30,10
AHT,ZR,0,0,0,0,30,21
AHT,RF,30,20,20,0.8217317487266553,40,28
AHT,ZR,0,0,0,0,40,30
AEM,RF,40,40,20,0.686806411837238,10,8
AEM,ZR,0,0,0,0,10,7
AEM,RF,10,10,20,0.7347447073474471,20,20
AEM,ZR,0,0,0,0,20,20
AEM,RF,10,20,20,0.7748427672955975,30,26
AEM,ZR,0,0,0,0,30,12
AGN,RF,10,10,20,0.7225647348951911,10,10
AGN,ZR,0,0,0,0,10,10
AGN,RF,20,50,20,0.797011207970112,20,15
AGN,ZR,0,0,0,0,20,6
AGN,RF,10,50,20,0.8289308176100629,30,9
AGN,ZR,0,0,0,0,30,4
AGRO,RF,10,10,20,0.7405857740585774,10,8
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.7748917748917749,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,20,50,20,0.8430493273542601,30,17
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8232558139534883,40,23
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,10,20,0.8647342995169082,50,24
AGRO,ZR,0,0,0,0,50,23
AGRO,RF,10,20,20,0.8291457286432161,60,32
AGRO,ZR,0,0,0,0,60,37
AGRO,RF,20,20,20,0.900523560209424,70,53
